country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options
HBQ,Bangladesh_HBQ.xlsx,boli khela,বলি খেলার উৎপত্তি কোথায়?,"ক) ভারত, খ) বাংলাদেশ, গ) নেপাল, ঘ) শ্রীলঙ্কা",খ) বাংলাদেশ,0,"The question 'বলি খেলার উৎপত্তি কোথায়?' (Where did the sport 'Boli' originate?) is factually incorrect. 'Boli' is not a recognized or standardized sport; it is a traditional folk game played in parts of Bangladesh and West Bengal, India, but it does not have an official origin attributed solely to Bangladesh. Moreover, it is not widely documented as a formal sport with a clear national origin. The correct answer being labeled as 'বাংলাদেশ' is misleading without context.",বাংলাদেশের একটি জনপ্রিয় ঐতিহ্যবাহী খেলা 'বলি' কোন অঞ্চলে সবচেয়ে বেশি খেলা হয়?,"['ক) ভারত', 'খ) বাংলাদেশ', 'গ) নেপাল', 'ঘ) শ্রীলঙ্কা']"
HBQ,Bangladesh_HBQ.xlsx,boli khela,বলি খেলায় প্রাথমিক উদ্দেশ্য কী?,"ক) দৌড়, খ) কুস্তি, গ) বল নিক্ষেপ, ঘ) লাথি মারা",খ) কুস্তি,0,"The question 'বলি খেলায় প্রাথমিক উদ্দেশ্য কী?' (What is the primary objective of Boli Khela?) is factually incorrect. 'Boli Khela' is a traditional Bengali folk game involving wrestling or combat, but the primary objective is not simply 'কুস্তি' (wrestling) — wrestling is the form, not the objective. The objective is to defeat the opponent by forcing them to touch the ground with any body part other than the feet, or to make them submit. Also, 'কুস্তি' as an option is ambiguous and circular — it confuses the activity with the goal. The correct answer should reflect the objective, not the type of game.",বলি খেলায় বিজয়ের প্রাথমিক উদ্দেশ্য কী?,"['ক) দৌড়', 'খ) প্রতিপক্ষকে মাটিতে পড়ানো', 'গ) ���ল নিক্ষেপ', 'ঘ) লাথি মারা']"
HBQ,Bangladesh_HBQ.xlsx,boli khela,ঐতিহ্যবাহীভাবে বলি খেলা কখন খেলা হয়?,"ক) শীতকাল, খ) গ্রীষ্মকাল, গ) উৎসবের সময়, ঘ) বসন্তকাল",গ) উৎসবের সময়,1,no mistake,no correction needed,no correction needed
HBQ,Bangladesh_HBQ.xlsx,boli khela,বাংলাদেশের কোন অঞ্চলে বলি খেলা সবচেয়ে বেশি জনপ্রিয়?,"ক) চট্টগ্রাম, খ) রাজশাহী, গ) ঢাকা, ঘ) খুলনা",খ) রাজশাহী,0,"The question claims 'বলি খেলা' (Boli Khela) is most popular in Rajshahi, but this is factually incorrect. Boli Khela (or Boli) is a traditional Bengali folk wrestling sport predominantly popular in the Barisal and Khulna divisions of Bangladesh, especially in rural areas of southern Bangladesh, not Rajshahi. Rajshahi is more known for other cultural or agricultural activities, not Boli Khela.",বাংলাদেশের কোন অঞ্চলে বলি খেলা সবচেয়ে বেশি জনপ্রিয়?,"['ক) চট্টগ্রাম', 'খ) রাজশাহী', 'গ) ঢাকা', 'ঘ) খুলনা']"
HBQ,Bangladesh_HBQ.xlsx,boli khela,বলি খেলায় অংশগ্রহণকারীদের ঐতিহ্যবাহী পোশাক কী?,"ক) শর্টস এবং টি-শার্ট, খ) লুঙ্গি, গ) ঐতিহ্যবাহী বাঙালি পোশাক, ঘ) জিন্স",খ) লুঙ্গি,0,"The question is factually incorrect. 'বলি খেলা' (Boli Khela) is a traditional Bengali folk wrestling sport, and participants typically wear a loincloth called 'langot' or 'kowpeen', not 'লুঙ্গি'. 'লুঙ্গি' is a general wraparound garment worn casually, not the traditional athletic attire for this sport. The correct answer should reflect the actual traditional attire used in Boli Khela.",বলি খেলায় অংশগ্রহণকারীদের ঐতিহ্যবাহী খেলার পোশাক কী?,"['ক) শর্টস এবং টি-শার্ট', 'খ) লুঙ্গি', 'গ) ল্যাঙ্গোট', 'ঘ) জিন্স']"
HBQ,Bangladesh_HBQ.xlsx,boli khela,বলি খেলায় কোন প্রাণীকে প্রায়শই প্রতীক হিসেবে ব্যবহার করা হয়?,"ক) বাঘ, খ) হাতি, গ) ষাঁড়, ঘ) ঘোড়া",গ) ষাঁড়,1,no mistake,no correction needed,no correction needed
HBQ,Bangladesh_HBQ.xlsx,boli khela,বলি খেলা প্রায়শই কোন ধরণের অনুষ্ঠানের সময় অনুষ্ঠিত হয়?,"ক) ধর্মীয় অনুষ্ঠান, খ) রাজনৈতিক সমাবেশ, গ) সাংস্কৃতিক উৎসব, ঘ) ক্রীড়া প্রতিযোগিতা",গ) সাংস্কৃতিক উৎসব,1,no mistake,no correction needed,no correction needed
HBQ,Bangladesh_HBQ.xlsx,boli khela,বলি খেলায় সাধারণত কতজন অংশগ্রহণকারী অংশগ্রহণ করে?,"ক) ১, খ) ২, গ) ৫, ঘ) ১০",খ) ২,0,"The question is factually incorrect. 'বলি খেলা' (Boli Khela) is not a recognized sport with standardized team sizes; it appears to be a mistranslation or misinterpretation. The term likely refers to 'Kabaddi', a popular South Asian contact sport where each team has 7 players on the field, not 2. The provided answer (খ) ২ is incorrect. Additionally, the question uses 'অংশগ্রহণকারী অংশগ্রহণ করে?' which is redundant and ungrammatical.",কাবাডি খেলায় প্রতিটি দলে সাধারণত কতজন খেলোয়াড় থাকে?,"['ক) ৫', 'খ) ৬', 'গ) ৭', 'ঘ) ১০']"
HBQ,Bangladesh_HBQ.xlsx,boli khela,বলি খেলা খেলার একটি মূল বৈশিষ্ট্য কী?,"ক) গতি, খ) সহনশীলতা, গ) শক্তি, ঘ) তত্পরতা",গ) শক্তি,0,"The question 'বলি খেলা খেলার একটি মূল বৈশিষ্ট্য কী?' is ambiguous and poorly worded. 'বলি খেলা' is not a recognized sport in standard terminology; it may be a misspelling or misinterpretation of 'বদমাশি খেলা' (a colloquial term) or 'বল খেলা' (ball game). The correct answer 'শক্তি' (strength) is not a universally accepted 'main characteristic' of any ball game — attributes like speed, coordination, or strategy are more appropriate. The question lacks clarity and factual grounding.",বল খেলার একটি মূল বৈশিষ্ট্য কী?,"['ক) গতি', 'খ) সহনশীলতা', 'গ) শক্তি', 'ঘ) সমন্বয়']"
HBQ,Bangladesh_HBQ.xlsx,boli khela,বলি খেলা ম্যাচের বিজয়ীর জন্য কী পুরষ্কার থাকবে?,"ক) টাকা, খ) একটি ট্রফি, গ) একটি ষাঁড়, ঘ) একটি খেতাব",ঘ) একটি উপাধি,0,"The correct answer is listed as 'ঘ) একটি উপাধি' (a title), but the option in the question is written as 'ঘ) একটি খেতাব' (a prize/award). 'খেতাব' and 'উপাধি' are not synonymous in this context; 'খেতাব' is a general award, while 'উপাধি' is a title (e.g., 'Champion'). The answer does not match the given option, making the MCQ invalid.",বলি খেলা ম্যাচের বিজয়ীর জন্য সাধারণত কী পুরষ্কার প্রদান করা হয়?,"['ক) টাকা', 'খ) একটি ট্রফি', 'গ) একটি ষাঁড়', 'ঘ) একটি উপাধি']"
HBQ,Bangladesh_HBQ.xlsx,boli khela,বছরের কোন অংশে বলি খেলা সবচেয়ে গুরুত্বপূর্ণ বলে বিবেচিত হয়?,"ক) শীতকাল, খ) বসন্তকাল, গ) গ্রীষ্মকাল, ঘ) শরৎকাল",খ) বসন্তকাল,0,"The question is factually incorrect. 'Boli' (বলি) is not a recognized sport in Bangladesh or South Asia; it is likely a misspelling or misinterpretation of 'Boishakhi' or 'Kabaddi'. Additionally, no major sport is traditionally associated with 'বসন্তকাল' (spring) as its most important season in Bengali cultural context. The correct context may refer to 'Kabaddi' during 'Pohela Boishakh' (Bengali New Year, in spring), but 'Boli' is not a valid term. The answer provided is therefore based on a false premise.",বাংলাদেশে কোন ঐতিহ্যবাহী খেলা বৈশাখের সময় সবচেয়ে গুরুত্বপূর্ণ হিসাবে পরিগণিত হয়?,"['ক) শীতকাল', 'খ) বসন্তকাল', 'গ) গ্রীষ্মকাল', 'ঘ) শরৎকাল']"
HBQ,Bangladesh_HBQ.xlsx,boli khela,বলি খেলার অন্যতম শারীরিক চ্যালেঞ্জ কী?,"ক) সাঁতার, খ) দীর্ঘ দূরত্বের দৌড়, গ) কাদায় কুস্তি, ঘ) লাফানো",গ) কাদায় কুস্তি,0,"The question asks about 'বলি খেলা' (Boli Khela), which is not a recognized sport. The term appears to be a mistranslation or misstatement of 'Kushti' or 'Pehlwani' (traditional South Asian wrestling), and 'কাদায় কুস্তি' (mud wrestling) is a specific form of wrestling, not a general physical challenge of a sport called 'Boli Khela'. The question is factually incorrect because 'Boli Khela' does not exist as a standard sport. The answer option 'কাদায় কুস্তি' is correct for mud wrestling, but it does not logically correspond to the non-existent 'Boli Khela'.",বাংলাদেশ ও ভারতের ঐতিহ্যবাহী কুস্তি খেলার অন্যতম শারীরিক চ্যালেঞ্জ কী?,"['ক) সাঁতার', 'খ) দীর্ঘ দূরত্বের দৌড়', 'গ) কাদায় কুস্তি', 'ঘ) লাফানো']"
HBQ,Bangladesh_HBQ.xlsx,boli khela,ঐতিহ্যবাহী সমাজে বলি খেলার উদ্দেশ্য কী?,"ক) বিনোদন, খ) শক্তি প্রদর্শন, গ) সামরিক প্রশিক্ষণ, ঘ) দক্ষতা উন্নয়ন",খ) শক্তি প্রদর্শন,0,"The question is factually questionable. In traditional societies, 'boli khela' (বলি খেলা) is not primarily about 'শক্তি প্রদর্শন' (display of strength) as the main purpose; it is more accurately a ritualistic or religious practice often tied to appeasing deities or community festivals, with wrestling or physical contests being secondary. The correct intent is often cultural/religious expression, not merely strength display. Also, the term 'বলি খেলা' may be confused with 'বলি' (sacrifice) and 'খেলা' (game), leading to ambiguity. The answer option is misleading without proper context.",ঐতিহ্যবাহী বাংলাদেশী সমাজে 'বলি খেলা' কী উদ্দেশ্যে পালিত হত?,"['ক) দেবতাকে বলি দেওয়া ও সম্প্রদায়ের ঐক��য বজায় রাখা', 'খ) শক্তি প্রদর্শন', 'গ) সামরিক প্রশিক্ষণ', 'ঘ) দক্ষতা উন্নয়ন']"
HBQ,Bangladesh_HBQ.xlsx,boli khela,বলি খেলা আর কোন ঐতিহ্যবাহী বাঙালি খেলার সাথে সাদৃশ্যপূর্ণ?,"ক) কাবাডি, খ) খো খো, গ) কুস্তি, ঘ) ভলিবল",গ) কুস্তি,0,"The question is factually incorrect. 'বলি খেলা' (Boli Khela) is not a recognized traditional Bengali sport, and it has no meaningful similarity to 'কুস্তি' (wrestling). In fact, 'বলি খেলা' is a colloquial term sometimes used for a children's game involving throwing or hitting a ball, but it is not a traditional sport with documented cultural roots comparable to kabaddi, kho-kho, or wrestling. The correct comparison, if any, would be with kabaddi or kho-kho due to physical contact and team dynamics. The provided answer is therefore misleading and unsupported by cultural or sporting facts.",কোন ঐতিহ্যবাহী বাঙালি খেলা কাবাডির সাথে সবচেয়ে বেশি সাদৃশ্যপূর্ণ?,"['ক) কাবাডি', 'খ) খো খো', 'গ) কুস্তি', 'ঘ) ভ���িবল']"
HBQ,Bangladesh_HBQ.xlsx,boli khela,অতীতে বলি খেলায় সাধারণ অংশগ্রহণকারী কারা ছিলেন?,"ক) কৃষক, খ) ব্যবসায়ী, গ) কুস্তিগীর, ঘ) সৈনিক",ক) কৃষক,0,"The question is factually incorrect and lacks historical context. 'বলি খেলা' (Boli Khela) is a traditional Bengali folk sport, primarily played by rural youth and laborers, not specifically by farmers (কৃষক) as the sole or general participants. The term 'বলি খেলা' is often confused with 'বলি' as in animal sacrifice, but in this context, it refers to a form of traditional wrestling or tug-of-war game in rural Bengal. The correct general participants are typically young men from agrarian communities, but 'কৃষক' (farmers) is too narrow and misleading as the primary descriptor. Moreover, 'কুস্তিগীর' (wrestlers) is a more accurate group, as Boli Khela resembles folk wrestling.",অতীতে বাংলাদেশের গ্রামীণ অঞ্চলে বলি খেলা খেলতেন প্রধানত কারা?,"['ক) ��ৃষক', 'খ) ব্যবসায়ী', 'গ) কুস্তিগীর', 'ঘ) সৈনিক']"
HBQ,Bangladesh_HBQ.xlsx,boli khela,বলি খেলা কোন ধরণের দর্শক আকর্ষণ করে?,"ক) আন্তর্জাতিক দর্শক, খ) স্থানীয় গ্রামবাসী, গ) রাজনৈতিক নেতা, ঘ) পর্যটক",খ) স্থানীয় গ্রামবাসী,0,"The question 'বলি খেলা কোন ধরণের দর্শক আকর্ষণ করে?' is factually ambiguous and lacks context. 'বলি খেলা' is not a widely recognized or standardized sport term in Bengali or international contexts; it may refer to 'Boli Khela' (a traditional Bengali folk game), but this is not common knowledge. The answer 'স্থানীয় গ্রামবাসী' is plausible for a folk game, but the question does not clearly specify this, leading to confusion. Additionally, the options are culturally narrow and not mutually exclusive in a logical MCQ structure.",বোলি খেলা নামক ঐতিহ্যবাহী বাংলাদেশী গ্রাম্য খেলাটি সাধারণত কাদের আকর্ষণ করে?,"['ক) আন্তর্জাতিক দর্শক', 'খ) স্থানীয় গ্রামবাসী', 'গ) রাজনৈতিক নেতা', 'ঘ) পর্যটক']"
HBQ,Bangladesh_HBQ.xlsx,boli khela,কোন দেশে বলি খেলা লোক ঐতিহ্যের আবাসস্থল?,"ক) ভারত, খ) বাংলাদেশ, গ) পাকিস্তান, ঘ) নেপাল",খ) বাংলাদেশ,0,"The question contains a factual error. 'Boli Khela' (বলি খেলা) is a traditional folk sport originating from Bangladesh, but the term 'বলি খেলা' is not the correct Bengali spelling; it should be 'বোলি খেলা' or more accurately 'বোলি খেলা' is a misspelling of 'বোলি খেলা' — the correct term is 'বোলি খেলা' or commonly known as 'Boli Khela' in transliteration, but it is not a widely recognized or officially documented traditional sport in Bangladesh. However, the most critical error is that 'Boli Khela' is not a real or documented traditional sport — it appears to be a fabricated or confused term. The intended sport might be 'Langdi' or 'Kho Kho', but even then, those are not uniquely Bangladeshi. The correct traditional sport often associated with rural Bangladesh is 'Kabaddi' or 'Danguli', not 'Boli Khela'. Therefore, the premise is factually incorrect.",���োন দেশে কবাডি খেলা জনপ্রিয় ঐতিহ্যবাহী খেলা হিসেবে পরিচিত?,"['ক) ভারত', 'খ) বাংলাদেশ', 'গ) পাকিস্তান', 'ঘ) নেপাল']"
