
📌 Processing: /DATA/rohan_kirti/niladri/pks/Bengali/HBQ/Bangladesh_HBQ.xlsx
✅ Saved → HBQ | boli khela | Row 0
✅ Saved → HBQ | boli khela | Row 1
✅ Saved → HBQ | boli khela | Row 2
✅ Saved → HBQ | boli khela | Row 3
✅ Saved → HBQ | boli khela | Row 4
✅ Saved → HBQ | boli khela | Row 5
✅ Saved → HBQ | boli khela | Row 6
✅ Saved → HBQ | boli khela | Row 7
✅ Saved → HBQ | boli khela | Row 8
✅ Saved → HBQ | boli khela | Row 9
✅ Saved → HBQ | boli khela | Row 10
✅ Saved → HBQ | boli khela | Row 11
✅ Saved → HBQ | boli khela | Row 12
✅ Saved → HBQ | boli khela | Row 13
✅ Saved → HBQ | boli khela | Row 14
✅ Saved → HBQ | boli khela | Row 15
✅ Saved → HBQ | boli khela | Row 16
✅ Saved → HBQ | boli khela | Row 17
✅ Saved → HBQ | boli khela | Row 18
✅ Saved → HBQ | boli khela | Row 19
✅ Saved → HBQ | boli khela | Row 20
✅ Saved → HBQ | boli khela | Row 21
✅ Saved → HBQ | boli khela | Row 22
✅ Saved → HBQ | boli khela | Row 23
✅ Saved → HBQ | boli khela | Row 24
✅ Saved → HBQ | boli khela | Row 25
✅ Saved → HBQ | boli khela | Row 26
✅ Saved → HBQ | boli khela | Row 27
✅ Saved → HBQ | boli khela | Row 28
✅ Saved → HBQ | boli khela | Row 29
✅ Saved → HBQ | boli khela | Row 30
✅ Saved → HBQ | boli khela | Row 31
✅ Saved → HBQ | boli khela | Row 32
✅ Saved → HBQ | boli khela | Row 33
✅ Saved → HBQ | boli khela | Row 34
✅ Saved → HBQ | boli khela | Row 35
✅ Saved → HBQ | boli khela | Row 36
✅ Saved → HBQ | boli khela | Row 37
✅ Saved → HBQ | boli khela | Row 38
✅ Saved → HBQ | boli khela | Row 39
✅ Saved → HBQ | boli khela | Row 40
✅ Saved → HBQ | boli khela | Row 41
✅ Saved → HBQ | boli khela | Row 42
✅ Saved → HBQ | boli khela | Row 43
✅ Saved → HBQ | boli khela | Row 44
✅ Saved → HBQ | boli khela | Row 45
✅ Saved → HBQ | boli khela | Row 46
✅ Saved → HBQ | boli khela | Row 47
✅ Saved → HBQ | boli khela | Row 48
✅ Saved → HBQ | boli khela | Row 49
✅ Saved → HBQ | boli khela | Row 51
✅ Saved → HBQ | boli khela | Row 52
✅ Saved → HBQ | boli khela | Row 53
✅ Saved → HBQ | boli khela | Row 54
✅ Saved → HBQ | boli khela | Row 55
✅ Saved → HBQ | boli khela | Row 56
✅ Saved → HBQ | boli khela | Row 57
✅ Saved → HBQ | boli khela | Row 58
✅ Saved → HBQ | boli khela | Row 59
✅ Saved → HBQ | boli khela | Row 60
✅ Saved → HBQ | boli khela | Row 61
✅ Saved → HBQ | boli khela | Row 62
✅ Saved → HBQ | boli khela | Row 63
✅ Saved → HBQ | boli khela | Row 64
✅ Saved → HBQ | boli khela | Row 65
✅ Saved → HBQ | boli khela | Row 66
✅ Saved → HBQ | boli khela | Row 67
✅ Saved → HBQ | boli khela | Row 68
✅ Saved → HBQ | boli khela | Row 69
✅ Saved → HBQ | boli khela | Row 70
✅ Saved → HBQ | boli khela | Row 71
✅ Saved → HBQ | boli khela | Row 72
✅ Saved → HBQ | boli khela | Row 73
✅ Saved → HBQ | boli khela | Row 74
✅ Saved → HBQ | boli khela | Row 75
✅ Saved → HBQ | boli khela | Row 76
✅ Saved → HBQ | boli khela | Row 77
✅ Saved → HBQ | boli khela | Row 78
✅ Saved → HBQ | boli khela | Row 79
✅ Saved → HBQ | boli khela | Row 80
✅ Saved → HBQ | boli khela | Row 81
✅ Saved → HBQ | boli khela | Row 82
✅ Saved → HBQ | boli khela | Row 83
✅ Saved → HBQ | boli khela | Row 84
✅ Saved → HBQ | boli khela | Row 85
✅ Saved → HBQ | boli khela | Row 86
✅ Saved → HBQ | boli khela | Row 87
✅ Saved → HBQ | boli khela | Row 88
✅ Saved → HBQ | boli khela | Row 89
✅ Saved → HBQ | boli khela | Row 90
✅ Saved → HBQ | boli khela | Row 91
✅ Saved → HBQ | boli khela | Row 92
✅ Saved → HBQ | boli khela | Row 93
✅ Saved → HBQ | boli khela | Row 94
✅ Saved → HBQ | boli khela | Row 95
✅ Saved → HBQ | boli khela | Row 96
✅ Saved → HBQ | boli khela | Row 97
✅ Saved → HBQ | boli khela | Row 98
✅ Saved → HBQ | boli khela | Row 99
✅ Saved → HBQ | boli khela | Row 100
✅ Saved → HBQ | boli khela | Row 101
✅ Saved → HBQ | boli khela | Row 102
✅ Saved → HBQ | boli khela | Row 103
✅ Saved → HBQ | boli khela | Row 104
✅ Saved → HBQ | boli khela | Row 105
✅ Saved → HBQ | boli khela | Row 106
✅ Saved → HBQ | boli khela | Row 107
✅ Saved → HBQ | boli khela | Row 108
✅ Saved → HBQ | boli khela | Row 109
✅ Saved → HBQ | boli khela | Row 110
✅ Saved → HBQ | boli khela | Row 111
✅ Saved → HBQ | boli khela | Row 112
✅ Saved → HBQ | boli khela | Row 113
✅ Saved → HBQ | boli khela | Row 114
✅ Saved → HBQ | boli khela | Row 115
✅ Saved → HBQ | boli khela | Row 116
✅ Saved → HBQ | boli khela | Row 117
✅ Saved → HBQ | boli khela | Row 118
✅ Saved → HBQ | boli khela | Row 119
✅ Saved → HBQ | boli khela | Row 120
✅ Saved → HBQ | boli khela | Row 121
✅ Saved → HBQ | boli khela | Row 122
✅ Saved → HBQ | boli khela | Row 123
✅ Saved → HBQ | boli khela | Row 124
✅ Saved → HBQ | dariabandha | Row 0
✅ Saved → HBQ | dariabandha | Row 1
✅ Saved → HBQ | dariabandha | Row 2
✅ Saved → HBQ | dariabandha | Row 3
✅ Saved → HBQ | dariabandha | Row 4
✅ Saved → HBQ | dariabandha | Row 5
✅ Saved → HBQ | dariabandha | Row 6
✅ Saved → HBQ | dariabandha | Row 7
✅ Saved → HBQ | dariabandha | Row 8
✅ Saved → HBQ | dariabandha | Row 9
✅ Saved → HBQ | dariabandha | Row 10
✅ Saved → HBQ | dariabandha | Row 11
✅ Saved → HBQ | dariabandha | Row 12
✅ Saved → HBQ | dariabandha | Row 13
✅ Saved → HBQ | dariabandha | Row 14
✅ Saved → HBQ | dariabandha | Row 15
✅ Saved → HBQ | dariabandha | Row 16
✅ Saved → HBQ | dariabandha | Row 17
✅ Saved → HBQ | dariabandha | Row 18
✅ Saved → HBQ | dariabandha | Row 19
✅ Saved → HBQ | dariabandha | Row 20
✅ Saved → HBQ | dariabandha | Row 21
✅ Saved → HBQ | dariabandha | Row 22
✅ Saved → HBQ | dariabandha | Row 23
✅ Saved → HBQ | dariabandha | Row 24
✅ Saved → HBQ | dariabandha | Row 25
✅ Saved → HBQ | dariabandha | Row 26
✅ Saved → HBQ | dariabandha | Row 27
✅ Saved → HBQ | dariabandha | Row 28
✅ Saved → HBQ | dariabandha | Row 29
✅ Saved → HBQ | dariabandha | Row 30
✅ Saved → HBQ | dariabandha | Row 31
✅ Saved → HBQ | dariabandha | Row 32
✅ Saved → HBQ | dariabandha | Row 33
✅ Saved → HBQ | dariabandha | Row 34
✅ Saved → HBQ | dariabandha | Row 35
✅ Saved → HBQ | dariabandha | Row 36
✅ Saved → HBQ | dariabandha | Row 37
✅ Saved → HBQ | dariabandha | Row 38
✅ Saved → HBQ | dariabandha | Row 39
✅ Saved → HBQ | dariabandha | Row 40
✅ Saved → HBQ | dariabandha | Row 41
✅ Saved → HBQ | dariabandha | Row 42
✅ Saved → HBQ | dariabandha | Row 43
✅ Saved → HBQ | dariabandha | Row 44
✅ Saved → HBQ | dariabandha | Row 45
✅ Saved → HBQ | dariabandha | Row 46
✅ Saved → HBQ | dariabandha | Row 47
✅ Saved → HBQ | dariabandha | Row 48
✅ Saved → HBQ | dariabandha | Row 49
✅ Saved → HBQ | dariabandha | Row 50
✅ Saved → HBQ | dariabandha | Row 51
✅ Saved → HBQ | dariabandha | Row 52
✅ Saved → HBQ | dariabandha | Row 53
✅ Saved → HBQ | dariabandha | Row 54
✅ Saved → HBQ | dariabandha | Row 55
