country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় খেলার মূল লক্ষ্য কী?,"ক) গোল করা, খ) লক্ষ্যবস্তুতে আঘাত করা, গ) বলটি দীর্ঘ সময় ধরে ধরে রাখা, ঘ) অন্য দলকে গোল করা থেকে বিরত রাখা",খ) লক্ষ্যবস্তু ধ্বংস করা,0,"The question asks about 'বলি খেলা' (Boli Khela), which is not a recognized sport. The correct answer refers to 'লক্ষ্যবস্তু ধ্বংস করা' (destroying the target), which aligns with 'Kho Kho' or 'Pithoo' (a traditional South Asian game), but not 'Boli Khela'. Additionally, the question and answer are inconsistent: the question mentions 'লক্ষ্যবস্তুতে আঘাত করা' (hitting the target), while the answer says 'লক্ষ্যবস্তু ধ্বংস করা' (destroying the target) — these are not the same. The term 'বলি খেলা' is likely a mistranslation or misstatement; it may intend to refer to 'কো কো' (Kho Kho) or 'গুল্লি ডাণ্ডা' (Gilli Danda).",কো কো খেলায় খেলার মূল লক্ষ্য কী?,"['ক) গোল করা', 'খ) লক্ষ্যবস্তুতে আঘাত করা', 'গ) বলটি দীর্ঘ সময় ধরে ধরে রাখা', 'ঘ) অন্য দলকে গোল করা থেকে বিরত রাখা']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় ব্যবহৃত পাথরের ওজন কত?,"A) 2-3 কেজি, B) 3-4 কেজি, C) 4-5 কেজি, D) 5-6 কেজি",গ) ৪-৫ কেজি,0,"The question uses 'বলি খেলায়' which is ambiguous and not a standard term in Bengali for the sport of stone lifting or 'Stone Lifting' (commonly known as 'Kho Kho' or 'Pehlwani' related activities). The correct term should be 'পাথর তোলা' or 'কুস্তির পাথর' to refer to the traditional Bengali/Indian stone lifting sport. Additionally, the correct answer is marked as 'গ) ৪-৫ কেজি' but the options are labeled in English letters (A, B, C, D), creating inconsistency.",পাথর তোলা খেলায় ব্যবহৃত পাথরের ওজন কত?,"['A) ২-৩ কেজি', 'B) ৩-৪ কেজি', 'C) ৪-৫ কেজি', 'D) ৫-৬ কেজি']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলা খেলার সাধারণ সময়কাল কত?,"ক) ১০-২০ মিনিট, খ) ৩০-৪০ মিনিট, গ) ১-২ ঘন্টা, ঘ) ২-৩ ঘন্টা",খ) ৩০-৪০ মিনিট,0,"The question refers to 'বলি খেলা' (Boli Khela), which is not a recognized standard sport with a defined playing time of 30-40 minutes. This appears to be a confusion with 'বলি' (Boli) as a regional or folk game, but no widely accepted or official rules exist for such a game with this time frame. The provided answer is likely incorrect or based on a misunderstanding. The term may be intended to refer to 'বলিবালা' (Bolivala) or 'কাবাডি' (Kabaddi), which is a recognized sport with 30-40 minute matches (two halves of 15-20 minutes each). Without clarification, the question is factually misleading.",কাবাডি খেলার সাধারণ সময়কাল কত?,"['ক) ১০-২০ মিনিট', 'খ) ৩০-৪০ মিনিট', 'গ) ১-২ ঘন্টা', 'ঘ) ২-৩ ঘন্টা']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,"বলি খেলায়, একটি খেলায় কয়টি দল অংশগ্রহণ করে?","ক) ১, খ) ২, গ) ৩, ঘ) ৪",খ) ২,1,no mistake,no correction needed,no correction needed
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় ব্যবহৃত পাথরের নাম কী?,"ক) বলি, খ) খিল, গ) গোলা, ঘ) পট",ক) বলি,0,"The question is factually incorrect. In the sport of 'bowl' or 'bowling' (commonly known as 'বলি খেলা' in Bengali), the stone or object used is called a 'বল' (ball), not 'বলি'. 'বলি' is the name of the game itself, not the object. The correct term for the object used is 'বল', and none of the options correctly reflect this. The provided answer 'ক) বলি' is therefore wrong, as it confuses the game name with the equipment.",বলি খেলায় ব্যবহৃত গোলাকার বস্তুর নাম কী?,"['ক) বল', 'খ) খিল', 'গ) গোলা', 'ঘ) পট']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় পাথর নিক্ষেপের জন্য প্রয়োজনীয় দূরত্ব কত?,"ক) ১০ মিটার, খ) ২০ মিটার, গ) ৩০ মিটার, ঘ) ৪০ মিটার",খ) ২০ মিটার,0,"The question refers to 'বলি খেলায় পাথর নিক্ষেপ' (stone throwing in Boli game), but 'Boli' is not a recognized or standardized sport with official rules for stone throwing. This appears to be a cultural or folk activity, not a formal athletic event with defined distances like 20 meters. The question misrepresents a folk tradition as a regulated sport, leading to factual inaccuracy.",বাংলাদেশের একটি জনপ্রিয় লোকাল খেলায় পাথর নিক্ষেপের জন্য সাধারণত কত মিটার দূরত্ব নির্ধারিত থাকে?,"['ক) ১০ মিটার', 'খ) ২০ মিটার', 'গ) ৩০ মিটার', 'ঘ) ৪০ মিটার']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় লক্ষ্যবস্তুর আকার কত?,"ক) ১ মিটার ব্যাস, খ) ২ মিটার ব্যাস, গ) ৩ মিটার ব্যাস, ঘ) ৪ মিটার ব্যাস",খ) ব্যাস ২ মিটার,0,"The question refers to 'বলি খেলা' (Boli Khela), which is not a recognized or standardized sport with a defined target size. This appears to be a fabricated or misnamed term. The correct sport likely intended is 'Kho Kho' or 'Pithoo' (a traditional South Asian game), but 'Boli Khela' does not exist in official sports literature. The answer provided (2-meter diameter) is also not verifiable for any known sport.",খেলার লক্ষ্যবস্তুর ব্যাস কত?,"['ক) ১ মিটার ব্যাস', 'খ) ২ মিটার ব্যাস', 'গ) ৩ মিটার ব্যাস', 'ঘ) ৪ মিটার ব্যাস']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলায় যদি পাথরটি লক্ষ্যবস্তুতে আঘাত করে তাহলে কী হবে?,"ক) খেলা শেষ, খ) দলটি একটি পয়েন্ট অর্জন করে, গ) দলটি অযোগ্য ঘোষণা করা হয়, ঘ) খেলাটি কোনও পরিবর্তন ছাড়াই চলতে থাকে",খ) দলটি একটি পয়েন্ট অর্জন করে,0,"The question refers to 'বলি খেলায়' (Boli Khela), which is not a recognized or standardized sport. There is no official rulebook or documented sport called 'Boli Khela' where a stone hitting a target scores a point. This appears to be a fabricated or misattributed term, likely confusing it with 'Jallikattu' or 'Stone Throwing' games, which are informal or regional activities without standardized MCQ rules. The answer assumes a non-existent rule set.","যদি জাল্লিকাট্টু খেলায় একজন খেলোয়াড় বৈধভাবে বলির গায়ে আঘাত করে এবং বলি নির্দিষ্ট দূরত্ব অতিক্রম করে, তাহলে কী হবে?","['ক) খেলা শেষ', 'খ) খেলোয়াড়কে একটি পয়েন্ট দেওয়া হ���়', 'গ) খেলোয়াড় অযোগ্য ঘোষিত হয়', 'ঘ) খেলাটি কোনও পরিবর্তন ছাড়াই চলতে থাকে']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,"বলি খেলায়, বিজয়ী দল কীভাবে নির্ধারিত হয়?","ক) সর্বোচ্চ সংখ্যক পয়েন্টের ভিত্তিতে, খ) দ্রুততম নিক্ষেপের ভিত্তিতে, গ) সর্বাধিক সংখ্যক সফল নিক্ষেপের ভিত্তিতে, ঘ) দীর্ঘতম দূরত্বের নিক্ষেপের ভিত্তিতে",ক) সর্বোচ্চ পয়েন্ট সংখ্যা অনুসারে,0,"The question asks about 'বলি খেলা' (Boli Khela), which is not a recognized sport. It appears to be a mistranslation or misnomer for 'বলি' (Boli) or possibly 'বলী' (Bali), but no official sport by this name exists in standard sports databases. The correct intended sport is likely 'বাস্কেটবল' (Basketball), as the answer refers to points and successful shots. The options and correct answer are logically consistent with basketball, but the question is factually incorrect due to the non-existent sport name.","বাস্কেটবল খেলায়, বিজয়ী দল কীভাবে নির্ধারিত হয়?","['ক) সর্বোচ্চ সংখ্যক পয়েন্টের ভিত্তিতে', 'খ) দ্রুততম নিক্ষেপের ভিত্তিতে', 'গ) সর্বাধিক সংখ্যক সফল নিক্ষেপের ভিত্তিতে', 'ঘ) দীর্ঘতম দূরত্বের নিক্ষেপের ভিত্তিতে']"
RBQ,Bangladesh_RBQ.xlsx,boli khela,বলি খেলা বছরের ঐতিহ্যবাহী সময় কোনটি?,"ক) শীতকাল, খ) বসন্তকাল, গ) গ্রীষ্মকাল, ঘ) শরৎকাল",খ) বসন্তকাল,0,"The question is factually incorrect. 'বলি খেলা' (Boli Khela) is a traditional Bengali folk sport, typically played during the winter season (শীতকাল), especially around the Poush Mela or in the months of December–January, not during spring (বসন্তকাল). The provided answer is wrong.",বলি খেলা বছরের ঐতিহ্যবাহী সময় কোনটি?,"['ক) শীতকাল', 'খ) বসন্তকাল', 'গ) গ্রীষ্মকাল', 'ঘ) শরৎকাল']"
