country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options
SBQ,Bangladesh_SBQ.xlsx,boli khela,"একটি বলি খেলা ম্যাচে, খেলোয়াড় A সফলভাবে একটি বল ছুঁড়ে মারে যা খেলোয়াড় B কে আউট করে দেয়, কিন্তু খেলোয়াড় B থ্রো করার সময় লাঠিটি ধরে ছিল। এরপর কী হবে?","A) খেলোয়াড় A অবৈধ থ্রোয়ের জন্য অযোগ্য ঘোষণা করা হয়েছে, B) খেলোয়াড় B কে নক আউট বলে গণ্য করা হয়েছে, C) কোনও পরিবর্তন ছাড়াই খেলা চলতে থাকে, D) খেলোয়াড় B লাঠি ধরে রাখার জন্য শাস্তি পেয়েছে",ঘ) খেলোয়াড় খ লাঠি ধরে রাখার জন্য শাস্তি পেয়েছে,0,"The question contains a factual error: 'বলি' is not a recognized sport; it appears to be a mistranslation or misstatement of 'ক্রিকেট' (cricket). Additionally, the scenario describes a throw (থ্রো) and bat (লাঠি) usage inconsistent with cricket rules — in cricket, a batsman holding the bat while being run out is not a violation warranting penalty; being run out is a valid dismissal. The correct answer claims punishment for holding the bat, which is not a rule in cricket or any standard sport. The question misrepresents sports rules and uses incorrect terminology.","একটি ক্রিকেট ম্যাচে, খেলোয়াড় A একটি বল ছুঁড়ে মারে যা খেলোয়াড় B-এর উইকেট ভাঙে, কিন্তু খেলোয়াড় B থ্রো করার সময় ব্যাটটি ধরে রেখেছি��। এরপর কী হবে?","['A) খেলোয়াড় A অবৈধ থ্রোয়ের জন্য অযোগ্য ঘোষণা করা হয়েছে', 'B) খেলোয়াড় B কে নক আউট বলে গণ্য করা হয়েছে', 'C) কোনও পরিবর্তন ছাড়াই খেলা চলতে থাকে', 'D) খেলোয়াড় B ব্যাট ধরে রাখার জন্য শাস্তি পেয়েছে']"
SBQ,Bangladesh_SBQ.xlsx,boli khela,"বলি খেলা খেলার সময়, খেলোয়াড় A বল ছুঁড়তে যাচ্ছিল, কিন্তু আম্পায়ার লক্ষ্য করলেন খেলোয়াড় B এর দলের মাঠে অনুমোদিত সংখ্যক খেলোয়াড় রয়েছে। কী ব্যবস্থা নেওয়া উচিত?","A) খেলোয়াড় A তাদের থ্রো হারায় এবং খেলোয়াড় B কে শাস্তি দেওয়া হয়, B) খেলোয়াড় B কে তাৎক্ষণিকভাবে অযোগ্য ঘোষণা করা হয়, C) দলগুলিকে সংশোধন করার জন্য খেলাটি বিরতি দেওয়া হয়, D) খেলোয়াড় A এর দল পয়েন্ট জিতে নেয়",গ) দলগুলিকে সংশোধন করার জন্য খেলাটি বিরতি দেওয়া হয়েছে,0,"The question is factually incorrect because 'বলি খেলা' (balli khela) is not a recognized sport; it appears to be a mistranslation or fabrication. The scenario described (number of players on field, referee intervention) resembles handball or football rules, but the term 'বলি খেলা' is invalid. Additionally, the correct answer option is labeled 'গ)' in the answer key but described as 'C)' in the options — inconsistency in labeling. The options also use inconsistent terminology (e.g., 'থ্রো' instead of 'throw-in' in proper context).","হ্যান্ডবল খেলার সময়, খেলোয়াড় A বল ছুঁড়তে যাচ্ছিল, কিন্তু আম্পায়ার লক্ষ্য করলেন খেলোয়াড় B এর দলের মাঠে অনুমোদিত সংখ্যক খেলোয়াড় রয়েছে। ক��� ব্যবস্থা নেওয়া উচিত?","['A) খেলোয়াড় A তাদের থ্রো-ইন হারায় এবং খেলোয়াড় B কে শাস্তি দেওয়া হয়', 'B) খেলোয়াড় B কে তাৎক্ষণিকভাবে অযোগ্য ঘোষণা করা হয়', 'C) দলগুলিকে সংশোধন করার জন্য খেলাটি বিরতি দেওয়া হয়', 'D) খেলোয়াড় A এর দল পয়েন্ট জিতে নেয়']"
SBQ,Bangladesh_SBQ.xlsx,boli khela,"বলি খেলা খেলার সময়, খেলোয়াড় A খেলোয়াড় B কে বল দিয়ে সফলভাবে আঘাত করে কিন্তু খেলোয়াড় B ছিটকে পড়া এড়াতে সক্ষম হয়। খেলার পরবর্তী ধাপ কী?","A) খেলোয়াড় B কে ছিটকে দেওয়া হয়, B) খেলোয়াড় A কে নিয়ম না মানার জন্য শাস্তি দেওয়া হয়, C) খেলাটি কোনও শাস্তি ছাড়াই চলতে থাকে, D) খেলোয়াড় B কে কিছুক্ষণের জন্য মাঠ ছেড়ে যেতে হয়।",গ) খেলাটি কোনও পেনাল্টি ছাড়াই চলতে থাকে,0,"The question refers to 'বলি খেলা' (Boli Khela), which is not a recognized or standardized sport with official rules. The scenario described (hitting a player with a ball and they avoid falling) does not correspond to any known sport's regulations, making the question factually invalid. Additionally, the correct answer is labeled as 'গ)' in the answer key but the options are labeled in English (A, B, C, D), causing inconsistency. The question cannot be logically evaluated without a real sport context.","In a game of Kabaddi, Player A successfully tags Player B, but Player B manages to avoid being pulled out of bounds and returns to their side. What happens next?","['Player B is declared out.', 'Player A is penalized for excessive force.', 'The game continues without any penalty.', 'Player B must leave the field for a short time.']"
SBQ,Bangladesh_SBQ.xlsx,boli khela,"বলি খেলা ম্যাচে, খেলোয়াড় A বল ছুঁড়ে মারে কিন্তু তা লাফিয়ে উঠে তাদের নিজেরই একজন সতীর্থকে আঘাত করে। এরপর কী হয়?","A) খেলোয়াড় A খারাপ থ্রোয়ের জন্য অযোগ্য ঘোষণা করা হয়েছে, B) পেনাল্টি ছাড়াই খেলা চলতে থাকে, C) খেলোয়াড় A এর দল একটি পয়েন্ট হারায়, D) খেলোয়াড় A এর থ্রো অবৈধ বলে বিবেচিত হয়",খ) খেলাটি পেনাল্টি ছাড়াই চলতে থাকে,0,"The question refers to 'বলি খেলা' (Boli Khela), which is not a recognized sport. It appears to be a mistranslation or misstatement of 'বলি' (Boli) or possibly 'বাস্কেটবল' (basketball). The scenario described — a player throwing the ball and it hitting a teammate — is ambiguous without knowing the sport's rules. Additionally, the correct answer is given in Bengali as 'খ) খেলাটি পেনাল্টি ছাড়াই চলতে থাকে', but the options are labeled in English letters (A, B, C, D), causing inconsistency. The question does not align with any standard sports rulebook (e.g., basketball, volleyball, handball), making it factually invalid.","In a basketball game, Player A throws the ball, but it accidentally hits a teammate after bouncing off the floor. What happens next?","['A) Player A is called for a bad throw and disqualified', 'B) Play continues without a penalty', ""C) Player A's team loses a point"", ""D) Player A's throw is ruled invalid""]"
SBQ,Bangladesh_SBQ.xlsx,boli khela,"একটি খেলা চলাকালীন, খেলোয়াড় A খেলোয়াড় B-এর দিকে বল ছুঁড়ে মারে, কিন্তু খেলোয়াড় B মাঝ আকাশে বলটি ধরে ফেলে। এরপর কী হবে?","A) খেলোয়াড় B ছিটকে যায়, B) খেলোয়াড় A অযোগ্য ঘোষণা করা হয়, C) খেলোয়াড় B বল ধরে খেলা চালিয়ে যায়, D) খেলোয়াড় A আবার থ্রো করার সুযোগ পায়",গ) খেলোয়াড় খ বল ধরে এবং খেলা চালিয়ে যায়,0,"The question is in Bengali but the correct answer is labeled as 'গ)' which corresponds to option C in English, yet the options are labeled with English letters (A, B, C, D). This is inconsistent. Additionally, the correct answer statement contains a typo: 'খেলোয়াড় খ' should be 'খেলোয়াড় B'. The scenario described (a player catching a thrown ball mid-air) is ambiguous without specifying the sport — it could be basketball, cricket, or another game with different rules. Without context, the question is not factually precise.","একটি বাস্কেটবল খেলার সময়, খেলোয়াড় A খেলোয়াড় B-এর দিকে বল ছুঁড়ে মারে, কিন্তু খেলোয়াড় B মাঝ আকাশে বলটি ধরে ফেলে। এরপর কী হবে?","['A) খেল���য়াড় B ছিটকে যায়', 'B) খেলোয়াড় A অযোগ্য ঘোষণা করা হয়', 'C) খেলোয়াড় B বল ধরে খেলা চালিয়ে যায়', 'D) খেলোয়াড় A আবার থ্রো করার সুযোগ পায়']"
SBQ,Bangladesh_SBQ.xlsx,boli khela,"এক কঠিন বোলি খেলা ম্যাচে, খেলোয়াড় A সফলভাবে বল ছুঁড়ে মারে এবং খেলোয়াড় B কে আঘাত করে। তবে, বলটি খেলার ক্ষেত্রের বাইরে পড়ে যায়। কী হয়?","A) খেলোয়াড় B কে খেলার বাইরে বলে গণ্য করা হয়, B) থ্রো অবৈধ, এবং খেলা চলতে থাকে, C) খেলোয়াড় A কে সীমানার বাইরে বল মারার জন্য শাস্তি দেওয়া হয়, D) খেলা বন্ধ হয়ে যায় এবং কোনও দল গোল করতে পারে না","খ) থ্রো অবৈধ, এবং খেলা চলতে থাকে",0,"The question is factually incorrect because it references 'থ্রো' (throw) in a context that suggests a hit or strike (e.g., 'বল ছুঁড়ে মারে' — 'hit the ball'), which is inconsistent with cricket or field hockey terminology. In cricket, hitting the ball out of bounds without it touching the ground is not a 'throw' — it's a boundary. In field hockey, a 'throw-in' is not used; it's a 'bully' or 'push-back'. The term 'থ্রো অবৈধ' is misleading and not standard in any major sport. The correct scenario described (player A hits the ball, hits player B, ball goes out) does not match any standard rule where 'throw invalid and play continues' is the outcome. The answer is therefore based on an incorrect premise.","একটি ক্রিকেট ম্যাচে, ব্যাটসম্যান A সফলভাবে বল মারে এবং বলটি বোলারের দিকে ফিরে আসে, যা বোলার B-কে আঘাত করে। তবে, বলটি পরে মাঠের বাইরে চলে যায়। কী হয়?","['A) বলটি চার হিসেবে গণ্য হয় এবং খেলা চলতে থাকে', 'B) বলটি বৈধ নয়, এবং বোলারকে রিবোল করতে হয়', 'C) ব্যাটসম্যান A-কে আউট করা হয়', 'D) খেলা বন্ধ হয়ে যায় এবং কোনও পয়েন্ট দেওয়া হয় না']"
SBQ,Bangladesh_SBQ.xlsx,boli khela,"বলি খেলা খেলার সময়, খেলোয়াড় A খেলোয়াড় B কে বল দিয়ে ছিটকে দেয়। তবে, খেলোয়াড় B এর দল দাবি করে যে খেলোয়াড় A এর থ্রো অবৈধ ছিল কারণ এটি সেন্টার লাইন অতিক্রম করেছিল। রায় কী?","A) খেলোয়াড় A এর থ্রো বৈধ, এবং খেলোয়াড় B আউট, B) খেলোয়াড় A কে সেন্টার লাইন অতিক্রম করার জন্য শাস্তি দেওয়া হয়েছে, C) থ্রো অবৈধ এবং খেলোয়াড় B আউট নয়, D) খেলাটি পর্যালোচনার জন্য স্থগিত করা হয়েছে","A) খেলোয়াড় A এর থ্রো বৈধ, এবং খেলোয়াড় B আউট",0,"The question refers to 'বলি খেলা' (Boli Khela), which is not a recognized formal sport with standardized rules like basketball or cricket. The concept of a 'center line' violation during a throw and the outcome of a player being 'out' does not align with any known sport. Additionally, the scenario and rules described are inconsistent with real-world sports regulations, making the question factually incorrect and misleading.","In a game of basketball, Player A throws the ball to Player B, but the throw crosses the center line. Player B's team claims the throw is illegal because it crossed the center line. What is the correct ruling?","[""A) Player A's throw is legal, and Player B is out"", 'B) Player A is penalized for crossing the center line with the throw', 'C) The throw is illegal, and Player B is not out', 'D) The play is stopped for review']"
SBQ,Bangladesh_SBQ.xlsx,boli khela,"বলি খেলা ম্যাচে, খেলোয়াড় A বল ছুঁড়ে মারার প্রস্তুতি নিচ্ছিল, ঠিক তখনই খেলোয়াড় B হঠাৎ থ্রোয়িং লাইনে ঢুকে পড়ে। আম্পায়ারের কী করা উচিত?","A) হস্তক্ষেপের জন্য খেলোয়াড় B কে শাস্তি দিন, B) থ্রোকে এগিয়ে যেতে দিন এবং খেলোয়াড় B এর অ্যাকশন উপেক্ষা করুন, C) ম্যাচ থামান এবং উভয় খেলোয়াড়কে সতর্ক করুন, D) খেলোয়াড় B কে অযোগ্য ঘোষণা করুন।",ক) হস্তক্ষেপের জন্য খেলোয়াড় খ কে শাস্তি দিন,0,"The question refers to 'বলি খেলা' (boli khela), which is not a recognized sport. The context describes a throwing line and interference, which aligns with 'Kho Kho' or 'Throwball', not 'Boli Khela'. This makes the question factually incorrect. Additionally, the correct answer option is labeled as 'ক)' while the options are labeled 'A)', 'B)', etc., creating inconsistency. The term 'থ্রোয়িং লাইন' is not standard in any recognized Bangla sport context for 'Boli Khela'.","খো খো খেলায়, খেলোয়াড় A থ্রো দেওয়ার প্রস্তুতি নিচ্ছিল, ঠিক তখনই খেলোয়াড় B হঠাৎ করে থ্রোয়িং লাইনে ঢুকে পড়ে। আম্পায়ারের কী করা উচিত?","['A) হস্তক্ষেপের জন্�� খেলোয়াড় B কে শাস্তি দিন', 'B) থ্রোকে এগিয়ে যেতে দিন এবং খেলোয়াড় B এর অ্যাকশন উপেক্ষা করুন', 'C) ম্যাচ থামান এবং উভয় খেলোয়াড়কে সতর্ক করুন', 'D) খেলোয়াড় B কে অযোগ্য ঘোষণা করুন']"
SBQ,Bangladesh_SBQ.xlsx,boli khela,"বলি খেলা খেলার সময়, খেলোয়াড় 'খ' খেলোয়াড়ের ছোঁড়া বল খেলোয়াড় 'ক'কে ছিটকে দেয়। তবে, খেলোয়াড় 'ক' দাবি করে যে আম্পায়ারের বাঁশি বাজানোর পরে বলটি ছুঁড়ে ফেলা হয়েছিল। আম্পায়ারের কী করা উচিত?","A) খেলোয়াড় A কে আউট ঘোষণা করুন এবং চালিয়ে যান, B) নিশ্চিত করুন যে খেলোয়াড় A বাঁশির কারণে আউট হননি, C) বাঁশি উপেক্ষা করুন এবং থ্রো স্থির রাখুন, D) আরও পর্যালোচনার জন্য ম্যাচটি স্থগিত করুন",খ) নিশ্চিত করুন যে বাঁশির কারণে খেলোয়াড় A আউট হননি।,0,"The question contains a critical factual error: it refers to 'বলি খেলা' (Boli Khela), which is not a recognized sport. The context describes a scenario involving an umpire's whistle and a throw to a player, which aligns with cricket, not any known sport called 'Boli Khela'. This mislabels the sport, making the question invalid. Additionally, the correct answer option is labeled 'খ)' in Bengali, but the options are labeled A, B, C, D in English — this inconsistency confuses the structure. The answer choice text also incorrectly refers to 'খেলোয়াড় A' instead of 'খেলোয়াড় ক' as used in the question.","ক্রিকেট খেলার সময়, খেলোয়াড় 'খ' খেলোয়াড়ের ছোঁড়া বল খেলোয়াড় 'ক'কে ছিটকে দেয়। তবে, খেলোয়াড় 'ক' দাবি করে যে আম্পায়ারের বাঁশি বাজানোর পরে বলটি ছুঁড়ে ফেলা হয়েছিল। আম্পায়ারের কী করা উচিত?","['A) খেলোয়াড় ক কে আউট ঘোষণা করুন এবং চালিয়ে যান', 'B) নিশ্চিত করুন যে বাঁশির কারণে খেলোয়াড় ক আউট হননি', 'C) বাঁশি উপেক্ষা করুন এবং থ্রো স্থির রাখুন', 'D) আরও পর্যালোচনার জন্য ম্যাচটি স্থগিত করুন']"
SBQ,Bangladesh_SBQ.xlsx,boli khela,"বলি খেলা ম্যাচে, খেলোয়াড় A-এর দল খেলোয়াড় B-কে সফলভাবে নক আউট করেছে। তবে, খেলোয়াড় B-এর সতীর্থ তৎক্ষণাৎ খেলোয়াড় A-এর দিকে বল ছুঁড়ে মারতে এগিয়ে আসে, তাদের নক আউট করার লক্ষ্যে। এরপর কী হবে?","A) খেলাটি কোনও পরিবর্তন ছাড়াই চলতে থাকে, B) খেলোয়াড় A কে তাৎক্ষণিকভাবে ছিটকে দেওয়া হয়, C) খেলোয়াড় B এর সতীর্থকে হস্তক্ষেপের জন্য শাস্তি দেওয়া হয়, D) নিয়ম পর্যালোচনার জন্য খেলাটি স্থগিত করা হয়",গ) খেলোয়াড় B এর সতীর্থকে হস্তক্ষেপের জন্য শাস্তি দেওয়া হয়েছে,0,"The question refers to 'বলি খেলা' (Boli Khela), which is not a recognized or standard sport with official rules involving 'nok out' (knock out) and teammates throwing balls to target players. This appears to be a fabricated or confused reference, possibly intending to describe Kabaddi, where 'tackling' and 'raid' mechanics exist, but not 'throwing a ball to knock out' an opponent. The scenario described is not logically consistent with any real sport's rules, making the question factually incorrect. Additionally, the correct answer option is labeled as 'গ)' in the answer key but the options are labeled A, B, C, D in English — this is inconsistent.","কবাডি খেলায়, একজন রেইডার প্রতিপক্ষের খেলোয়াড়কে সফলভাবে ধরে ফেলে (নক আউট করে)। তারপর প্রতিপক্ষের একজন খেলোয়াড় তৎক্ষণাৎ রেইডারের দিকে বল ছুঁড়ে মারে, তাকে আরও একবার নক আউট করার চেষ্টা করে। এরপর কী হবে?","['A) খেলাটি কোনও পরিবর্তন ছাড়াই চলতে থাকে', 'B) রেইডারকে তাৎক্ষণিকভাবে ছিটকে দেওয়া হয়', 'C) বল ছুঁড়ে মারা খেলোয়াড়কে হস্তক্ষেপের জন্য শাস্তি দেওয়া হয়', 'D) নিয়ম পর্যালোচনার জন্য খেলাটি স্থগিত করা হয়']"
